Name,Text
DEATH BY…ANYTHING,"DEATH BY…ANYTHING
CrossFit Benchmark WOD
EMOM For as Long as Possible
1 Rep in the first minute
2 Reps in the second minute
3 Reps in the third minute
etc."
MIKKO’S TRIANGLE,"MIKKO’S TRIANGLE
The System Benchmark WOD
EMOM for 39 minutes
1 minute Row
1 minute SkiErg
1 minute Assault Bike
1 minute Rest
Set a single number of calories and complete that amount of work each minute - every minute."
WHITTEN,"WHITTEN
CrossFit Hero WOD
5 Rounds For Time
22 Kettlebell Swings (2/1.5 pood)
22 Box Jumps (24/20 in)
400 meter Run
22 Burpees
22 Wall Ball Shots (10/9 ft, 20/14 lb)"
THE LONGEST MILE,"THE LONGEST MILE
Benchmark WOD
4 Rounds for Time
10 Burpees
100 meter Run
10 Air Squats
100 meter Run
10 Push-Ups
100 meter Run
10 Sit-Ups
100 meter Run"
THE SWEDISH MILE,"THE SWEDISH MILE
Coach Creation WOD
25 Rounds for Time
10 Burpees
100 meter Run
10 Air Squats
100 meter Run
10 Push-Ups
100 meter Run
10 Sit-Ups
100 meter Run"
BARBARA,"BARBARA
CrossFit ""Girl"" Benchmark WOD
5 Rounds For Time
20 Pull-Ups
30 Push-Ups
40 Sit-Ups
50 Air Squats
3 minutes Rest"
CHAD,"CHAD
Memorial WOD for Chad Wilkinson
For Time
1,000 Box Step-Ups (20 in)

Wear a Ruck Pack (45/35 lb)"
RANDY,"RANDY
CrossFit Hero WOD
For Time
75 Power Snatches (75/55 lb)"
ELIZABETH,"ELIZABETH
CrossFit ""Girl"" Benchmark WOD
21-15-9 Reps For Time
Cleans (135/95 lb)
Ring Dips"
COFFEY,"COFFEY
CrossFit Hero WOD
For Time
800 meter Run
50 Back Squats (135/95 lb)
50 Bench Press (135/95 lb)
800 meter Run
35 Back Squat (135/95 lb)
35 Bench Press (135/95 lb)
800 meter Run
20 Back Squat (135/95 lb)
20 Bench Press (135/95 lb)
800 meter Run
1 Muscle-Up"
DONNY,"DONNY
CrossFit Hero WOD
21-15-9-9-15-21 Reps, For Time
Deadlifts (225/155 lb)
Burpees"
OPEN 22.1,"OPEN 22.1
2022 CrossFit Games Open Workout #1
AMRAP in 15 minutes
3 Wall Walks
12 Dumbbell Snatches (50/35 lb)
15 Box Jump Overs"
SUPER LEGS,"SUPER LEGS
CrossFit Stimulus Travel WOD
5 Rounds for Time
20 Air Squats
20 Alternating Lunges
20 Alternating Split Squat Jumps
10 Squat Jumps"
POPEYE,"POPEYE
by Beaux Blackwood
3 Rounds Without Breaking
30 Curls (2x25/15 lb)
30 Strict Presses (2x25/15 lb)
30 Lateral Raises (2x25/15 lb)
30 Hammer Curls (2x25/15 lb)
30 Upright Rows (2x25/15 lb)
30 Push Presses (2x25/15 lb)
30 Curls (2x25/15 lb)
1 minute Rest"
DURANTE CORE,"DURANTE CORE
by Dave Durante
5 Rounds for Time
10 Hollow Rocks
10 V-Ups
10 Tuck Ups
10 second Hollow Hold
1 minute Rest"
LUMBERJACK 20,"LUMBERJACK 20
CrossFit Hero WOD
For Time
20 Deadlifts (275/185 lb)
400 meter Run
20 Kettlebell Swings (2/1.5 pood)
400 meter Run
20 Overhead Squats (115/75 lb)
400 meter Run
20 Burpees
400 meter Run
20 Chest-to-Bar Pull-Ups
400 meter Run
20 Box Jumps (24/20 in)
400 meter Run
20 Dumbbell Squat Cleans (45/35 lb)
400 meter Run"
BLACKJACK,"BLACKJACK
Benchmark WOD (aka: ""Twenty-One"")
For Time
20 Push-Ups, 1 Sit-Up
19 Push-Ups, 2 Sit-Ups
18 Push-Ups, 3 Sit-Ups
...continue this pattern until...
2 Push-Ups, 19 Sit-Ups
1 Push-Up, 20 Sit-Ups"
HOTSHOTS 19,"HOTSHOTS 19
CrossFit Hero WOD
6 Rounds For Time
30 Air Squats
19 Power Cleans (135/95 lb)
7 Strict Pull-Ups
400 meter Run"
JACK,"JACK
CrossFit Hero WOD
AMRAP in 20 minutes
10 Push Presses (115/85 lb)
10 Kettlebell Swings (1.5/1 pood)
10 Box Jumps (24/20 in)"
OPEN 22.3,"OPEN 22.3
2022 CrossFit Open Workout #3
For Time
21 Pull-Ups
42 Double-Unders
21 Thrusters (95/65 lb)
18 Chest-to-Bar Pull-Ups
36 Double-Unders
18 Thrusters (115/75 lb)
15 Bar Muscle-Ups
30 Double-Unders
15 Thrusters (135/85 lb)

Time Cap: 12 Minutes"
WOOD,"WOOD
Hero WOD
5 Rounds For Time
400 meter Run
10 Burpee Box Jumps (24/20 in)
10 Sumo-Deadlift High-Pulls (95/65 lb)
10 Thrusters (95/65 lb)
1 minute Rest"
FLIGHT SIMULATOR,"FLIGHT SIMULATOR
by James Fitzgerald
For Time
5-10-15-20-25-30-35-40-45-50-45-40-35-30-25-20-15-10-5
Unbroken Double-Unders"
MACHO MAN,"MACHO MAN
by Ben Bergeron
EMOM for as Long as Possible
3 Power Cleans (185/135 lb)
3 Front Squats (185/135 lb)
3 Jerks (185/135 lb)"
EVA,"EVA
CrossFit ""Girl"" Benchmark WOD
5 Rounds For Time
800 meter Run
30 Kettlebell Swings (2/1.5 pood)
30 Pull-Ups"
NICOLE,"NICOLE
CrossFit ""Girl"" Benchmark WOD
AMRAP in 20 minutes
400 meter Run
Max Pull-Ups"
LUPO,"LUPO
CrossFit 110 Hero WOD
For Time (with a Partner)
Cash-In: 1,943 meter Row

100 Wall Ball Shots (20/14 lb)
90 Deadlifts (135/95 lb)
80 Hand Release Push-Ups
70 Box Jumps (24/20 in)
60 Toes-to-Bars
50 Burpees
40 Power Cleans (135/95 lb)
30 Push Presses (135/95 lb)
20 Weighted Lunges (20/14 lb)
10 Thrusters (135/95 lb)

Cash-Out: 1,967 Row

Time Cap: 50 minutes"
INCREDIBLE HULK,"INCREDIBLE HULK
Benchmark WOD
AMRAP in 20 minutes
5 Deadlifts (115/75 lb)
5 Hang Power Cleans (115/75 lb)
5 Front Squats (115/75 lb)
5 Push Press (115/75 lb)
5 Back Squat (115/75 lb)"
YOU GO I GO,"YOU GO I GO
Assault Fitness Benchmark WOD
AMRAP (with a Partner) in 12 minutes
7 Burpees
6/4 calorie Assault Airbike
3 Right-Arm Dumbbell Hang Clean-and-Jerks (50/35 lb)
3 Left-Arm Dumbbell Hang Clean-and-Jerks (50/35 lb)

Partners switch after each full round."
MARY,"MARY
CrossFit ""Girl"" Benchmark WOD
AMRAP in 20 minutes
5 Handstand Push-Ups
10 Pistols (alternating legs)
15 Pull-Ups"
NATE,"NATE
CrossFit Hero WOD
AMRAP in 20 minutes
2 Muscle-Ups
4 Handstand Push-Ups
8 Kettlebell Swings (2/1.5 pood)"
KERRIE,"KERRIE
CrossFit Hero WOD
10 Rounds for Time
100 meter Sprint
5 Burpees
20 Sit-Ups
15 Push-Ups
100 meter Sprint
Rest 2 minutes
Wear a Weight Vest (20/14 lb)"
DIRTY THIRTY,"DIRTY THIRTY
CrossFit Benchmark WOD
For Time
30 Box Jumps (24/20 in)
30 Jumping Pull-Ups
30 Kettlebell Swings (35/26 lb)
30 Lunges
30 Knees-to-Elbows
30 Push Presses (45/35 lb)
30 Back Extensions
30 Wall Ball Shots (20/14 lb)
30 Burpees
30 Double-Unders

Time Cap: 30 minutes"
BULL,"BULL
CrossFit Hero WOD
2 Rounds For Time
200 Double-Unders
50 Overhead Squats (135/95 lb)
50 Pull-Ups
1 mile Run"
JT,"JT
CrossFit Hero WOD
21-15-9 Reps For Time
Handstand Push-Ups
Ring Dips
Push-Ups"
TRIPLE 3,"TRIPLE 3
2014 CrossFit Games/2018 Regionals WOD
For Time
3,000 meter Row
300 Double-Unders
3 mile Run"
BKG,"BKG
Morning Chalk Up Workout of the Week
EMOM for 20 minutes
5 Power Snatches (95/65 lb)
5 Toes-to-Bars
5 Thrusters (95/65 lb)
5 Bar Facing Burpees

If you fail before 20 rounds, take 1-minute rest and continue until you accumulate 21 rounds. Each time you fail, add one more round in the end.

Time Cap: 30 minutes"
CROSSFIT TOTAL,"CROSSFIT TOTAL
CrossFit Benchmark WOD
Sum of the Best of Each Lift
Back Squat
Shoulder Press
Deadlift"
AMANDA,"AMANDA
CrossFit ""Girl"" Benchmark/Memorial WOD
9-7-5 Reps For Time
Muscle-Ups
Squat Snatches (135/95 lbs)"
MURPH DEMARCATION,"MURPH DEMARCATION
Kobalt Performance Partner WOD
For Time (with a Partner)
Buy-In: 1,000 meter Row

800 meter Run (together)
50 Pull-Ups
100 Push-Ups
150 Air Squats
800 meter Run (together)
30 Pull-Ups
60 Push-Ups
90 Air Squats
800 meter Run (together)
20 Pull-Ups
40 Push-Ups
60 Air Squats
800 meter Run (together)

Buy-Out: 1,000 meter Row

Wear a Weight Vest (20/14 lb), except on the Row"
FATAL 40,"FATAL 40
Benchmark WOD
For Time
40 Wall Ball Shots (20/14 lb)
40 Hang Cleans (95/65 lb)
40 Pull-Ups
40 Deadlifts (95/65 lb)
40 Push-Ups
40 Box Jumps (24/20 in)
40 Kettlebell Swings (1.5/1 pood)
40 Toes-to-Bars
40 Air Squats
40 Hang Snatches (95/65 lb)
40 Double-Unders
40 Sit-Ups
40 Burpees

400 meter Run at start and after each 40-rep movement"
ZEUS,"ZEUS
CrossFit Hero WOD
3 Rounds For Time
30 Wall Ball Shots (20/14 lb)
30 Sumo Deadlift High-Pull (75/55 lb)
30 Box Jump (20 in)
30 Push Presses (75/55 lb)
30 calorie Row
30 Push-Ups
10 Back Squats (Bodyweight)"
LYNNE,"LYNNE
CrossFit ""Girl"" Benchmark WOD
As Many Repetitions as Possible in 5 Rounds of:
Max Bench Press (bodyweight)
Max Pull-Ups"
BERGERON BEEP TEST,"BERGERON BEEP TEST
by Ben Bergeron
EMOM for as Long as Possible
7 Thrusters (75/55 lb)
7 Pull-Ups
7 Burpees"
OPEN 12.1,"OPEN 12.1
2012 CrossFit Games Open WOD
AMRAP in 7 minutes
Burpees"
JERRY,"JERRY
CrossFit Hero WOD
For Time
1 mile Run
2,000 meter Row
1 mile Run"
DEATH RACE,"DEATH RACE
by Ben Bergeron
5 Rounds for Time
15/10 calorie Assault Bike
10 Burpees"
TOMMY MAC,"TOMMY MAC
Outlaw CrossFit Hero WOD
2 Rounds For Time
12 Burpees
12 Thrusters (115/75 lb)
12 Burpees
12 Power Snatches (115/75 lb)
12 Burpees
12 Push Jerks (115/75 lb)
12 Burpees
12 Hang Squat Cleans (115/75 lb)
12 Burpees
12 Overhead Squats (115/75 lb)"
OPEN 14.5,"OPEN 14.5
2014 CrossFit Games Open WOD
21-18-15-12-9-6-3 Reps, For Time
Thrusters (95/65 lb)
Bar Facing Burpees"
BRASWELL,"BRASWELL
CrossFit iQ Hero WOD
AMRAP in 40 minutes
12 Burpees
9 Hang Power Cleans (95/65 lb)
18 Wall Ball Shots (20/14 lb)
200 meter Sandbag Run (60/40 lb)"
THE END,"THE END
2011 CrossFit Games (Championships) WODs #8, #9, & #10
3 Parts Scored Individually
""The End 1""
AMRAP in 3 minutes
20 calorie Row
30 Wall Ball Shots (20/14 lb)
20 Toes-to-Bars
30 Box Jumps (24 in)
20 Kettlebell Sumo Deadlift High-Pulls (108/72 lb)
30 Burpees
20 Shoulder-to-Overheads (135/95 lb)
100 ft Sled Pull
Rest 1 minute
""The End 2""
AMRAP in 6 minutes
Same workout as above
Rest 2 minutes
""The End 3""
For Time
Same workout as above"
ELLEN,"ELLEN
CrossFit ""Girl"" Benchmark WOD
3 Rounds for Time
20 Burpees
21 Alternating Dumbbell Snatches (50/35 lb)
12 Dumbbell Thrusters (2x50/35 lb)"
THE DON,"THE DON
CrossFit Hero WOD
For Time
66 Deadlifts (110/75 lb)
66 Box Jumps (24/20 in)
66 Kettlebell Swings (1.5/1 pood)
66 Knees-to-Elbows
66 Sit-Ups
66 Pull-Ups
66 Thrusters (55/35 lb)
66 Wall Ball Shots (20/14 lb)
66 Burpees
66 Double-Unders"
UNKNOWN HEROES,"UNKNOWN HEROES
Friendship Crossfit Hero WOD
For Time
21 Front Squats (95/65 lb)
21 Pull-Ups
21 Sumo Deadlifts (95/65 lb)
21 Push-Ups
21 Push Presses (95/65 lb)
21 Wall Climbs
21 Squat Cleans (95/65 lb)
21 Burpees
21 Curtis P’s* (95/65 lb)
21 Toes-To-Bars
21 Double-Unders
21 Power Snatches (95/65 lb)
21 Broad Jumps
21 Wall Ball Shots (20/14 lb)
21 Box Jumps (24/20 in)
21 Calorie Row
21 Overhead Squats (95/65 lb)
21 Kettlebell Swings (53/35 lb)
21 Kettlebell Snatches (53/35 lb)
21 Kettlebell Taters** (53/35 lb)
21 Thrusters (95/65 lb)
Time Cap: 45 minutes"
CHRIS KYLE,"CHRIS KYLE
Hero WOD
3 Rounds for Time
40 Kettlebell Swings (53/35 lb)
40 Box Jumps (24/20 in)
40 Clusters (65/45 lb)
40 Elevated Push-Ups (feet on 24/18 in box)"
SNOWBIRD,"SNOWBIRD
Campus CrossFit Hero WOD
AMRAP in 22 minutes
35 Kettlebell Swings (50/35 lb)
9 Burpees
35 Air Squats
8 Push-Ups
Cash-Out: 431 Single-Unders"
BULLARD,"BULLARD
CrossFit Wreckage Hero WOD
For Time
Buy-In: 532 meter Sandbag Run (40/30 lb)
5 Rounds of:
21 Hand Release Push-Ups
20 Alternating Dumbbell Snatches (50/35 lb)
15 Single-Arm Overhead Dumbbell Lunges (50/35 lb)
Cash-Out: 532 meter Sandbag Run (40/30 lb)
Wear a Weight Vest for the entire workout (20/14 lb)"
SERVAIS,"SERVAIS
Hero WOD
For Time
1.5 mile Run
Then 8 rounds of:
19 Pull-Ups
19 Push-Ups
19 Burpees
Then,
400 meter Sandbag Carry (heavy)
1-mile Farmers Carry (45/35 lb dumbbells)"
HALEY ADAMS,"HALEY ADAMS
Morning Chalk Up Workout of the Week
6 Rounds for Time (with a Partner)
21 calorie Row
15 Burpee Box Jump Overs (24/20 in)
9 Deadlifts (315/220 lb)"
THE 300,"THE 300
Gym Jones Benchmark WOD
For Time
25 Pull-Ups
50 Deadlifts (135/95 lb)
50 Push-Ups
50 Box Jumps (24/20 in)
50 Floor Wipers (135/95 lb) (one count)
50 Alternating Kettlebell Clean-and-Presses (1/.75 Pood)
25 Pull-Ups"
WALK IT OUT,"WALK IT OUT
NCFit Benchmark WOD
For Time
25-20-15 Deadlifts (155/105 lb)
50-40-30 Walking Lunges
50 meter Double Kettlebell Farmer's Carry (2x70/53 lb)*

Rest 1 minute

15-10-5 Deadlifts (225/155 lb)
30-20-10 Walking Lunges
50 meter Double Kettlebell Farmer's Carry (2x70/53 lb)*

*Complete the Farmer's Carry after each full set."
PAINSTORM XXI,"PAINSTORM XXI
CrossFit Central Scotland Benchmark WOD (aka: ""Burpee Bedlam"")
For time
30 Burpees
30 Deadlifts
30 Burpees
30 Cleans
30 Burpees
30 Single-Arm Strict Presses (alternating)
30 Burpees
30 Push Presses
30 Burpees
30 Push Jerks
30 Burpees
30 Dumbbell Swings
30 Burpees
30 Sumo Deadlift HIgh-Pulls
30 Burpees
30 Snatches (Left Hand)
30 Burpees
30 Snatches (Right Hand)
30 Burpees
30 Man Makers

Use one pair of Dumbbells (50/35 lb) throughout"
RECOVERY DAY,"RECOVERY DAY
CrossFit Mayhem Benchmark WOD
3 Rounds, For Calories in 34 minutes
2 minutes Air Bike
2 minutes Rest
2 minutes Row
2 minutes Rest
2 minutes SkiErg
2 minutes Rest"
BASELINE,"BASELINE
aka: ""CrossFit Baseline,"" CrossFit Benchmark WOD
For Time
500 meter Row
40 Air Squats
30 Sit-Ups
20 Push-Ups
10 Pull-Ups"
BRADSHAW,"BRADSHAW
CrossFit Hero WOD
10 Rounds for Time
3 Handstand Push-Ups
6 Deadlift (225/155 lb)
12 Pull-Ups
24 Double-Unders"
BADGER,"BADGER
CrossFit Hero WOD
3 Round For Time
30 Squat Cleans (95/65 lb)
30 Pull-Ups
800 meter Run"
GRIFF,"GRIFF
CrossFit Hero WOD
For Time
800 meter Run
400 meter Run (backwards)
800 meter Run
400 meter Run (backwards)"
MONSTER CHIPPER,"MONSTER CHIPPER
The Box Programming WOD
For Time (with a Partner)
50 Devil Presses (2x22.5/15 kg)
100 Burpees
200 Air Squats
3,000 meter Row

Time Cap: 30 minutes"
HEAVY DT,"HEAVY DT
CrossFit Games WOD
5 Rounds for Time
12 Deadlifts (205/145 lb)
9 Hang Power Cleans (205/145 lb)
6 Push Jerks (205/145 lb)"
DEE,"DEE
CrossFit Jackson Hero WOD
4 Rounds For Time
40 Air Squats
30 Hand-Release Push-Ups
20 Burpees
400 meter Run"
HOTEL HELL,"HOTEL HELL
by Chris Spealler
For Time
100 Dumbbell Hang Clean Thrusters (2x35/25 lb)

5 Burpees to start, and at the top of each minute"
ABBATE,"ABBATE
CrossFit Hero WOD
For Time
1 mile Run
21 Clean-and-Jerks (155/105 lb)
800 Meter Run
21 Clean-and-Jerks (155/105 lb)
1 mile Run"
ANDI,"ANDI
CrossFit ""Girl"" Benchmark WOD
For Time
100 Hang Power Snatches (65/45 lb)
100 Push Presses (65/45 lb)
100 Sumo Deadlift High-Pulls (65/45 lb)
100 Front Squats (65/45 lb)"
INGRID,"INGRID
CrossFit ""Girl"" Benchmark WOD
10 Rounds for Time
3 Snatches (135/95 lb)
3 Bar Over Burpees"
WITTMAN,"WITTMAN
Hyrox Workout of the Week
10 Rounds for Time
10 Burpees
10 Air Squats
10 Push-Ups
10 Sit-Ups

Time Cap: 30 minutes"
MARGUERITA,"MARGUERITA
CrossFit Benchmark WOD
50 Rounds for Time
1 Burpee
1 Push-Up
1 Jumping-Jack
1 Sit-Up
1 Handstand"
THE GHOST,"THE GHOST
CrossFit Benchmark WOD
6 Rounds for Total Reps in 23 minutes
1 minute of Rowing (for calories)
1 minute of Burpees
1 minute of Double-Unders
1 minute Rest"
NASTY GIRLS,"NASTY GIRLS
CrossFit Benchmark WOD
3 Rounds For Time
50 Air Squats
7 Muscle-Ups
10 Hang Power Cleans (135/95 lb)"
THE HATEFUL EIGHT,"THE HATEFUL EIGHT
US CrossFit Benchmark WOD
8 Rounds for Time
8 Push-Ups
8 GHD Sit-Ups
8 Air Squats
8 Pull-Ups
8 Deadlifts (95/65 lb)
8 Hang Power Cleans (95/65 lb)
8 Shoulder-to-Overheads (95/65 lb)
8 calorie Row"
LOKI,"LOKI
2022 Street Parking Vault WOD
For Time
3 Rounds of:
2 Wall Walks
6 Dumbbell Loki Complexes (2x40/25 lb)*

Rest 1 minute

Then, 2 Rounds of:
3 Wall Walks
9 Dumbbell Loki Complexes (2x40/25 lb)*

Rest 1 minute

Finally, complete:
6 Wall Walks
18 Dumbbell Loki Complexes (2x40/25 lb)*

1 Loki Complex is unbroken:
1 Deadlift
1 Power Clean
1 Squat Clean"
BIG CLEAN COMPLEX,"BIG CLEAN COMPLEX
by Ben Bergeron
6 Sets for Max Load
High Hang Clean + Hang Clean + Clean + Push Press
High Hang Clean + Hang Clean + Clean + Push Jerk
High Hang Clean + Hang Clean + Clean + Split Jerk
One set consists of all 12 reps"
MCGHEE,"MCGHEE
CrossFit Hero WOD
AMRAP in 30 minutes
5 Deadlifts (275/185 lb)
13 Push-Ups
9 Box Jumps (24/20 in)"
PAINSTORM XXIV,"PAINSTORM XXIV
Classic Benchmark WOD
For Time
100 meter Run
50 Burpees
200 meter Run
100 Push-Ups
300 meter Run
150 Lunges
400 meter Run
200 Air Squats
300 meter Run
150 Lunges
200 meter Run
100 Push-Ups
100 meter Run
50 Burpees"
BAWLING,"BAWLING
by Luke Downing
100-200-300-400-500-400-300-200-100m
Ski Erg

*After each round
20 Air Squats
15 KB Russian Swings
10 Push ups"
AIR FORCE,"AIR FORCE
2010 CrossFit Games WOD
For Time
20 Thrusters (95/65 lbs)
20 Sumo Deadlift High-Pulls (95/65 lbs)
20 Push Jerks (95/65 lbs)
20 Overhead Squats (95/65 lbs)
20 Front Squats (95/65 lbs)

4 Burpees at the top of each minute"
JONESWORTHY,"JONESWORTHY
CrossFit Benchmark WOD
For Time
80 Air Squats
40 Kettlebell Swings (1.5/1 pood)
20 Pull-Ups
64 Air Squats
32 Kettlebell Swings (1.5/1 pood)
16 Pull-Ups
50 Air Squats
25 Kettlebell Swings (1.5/1 pood)
12 Pull-Ups
32 Air Squats
16 Kettlebell Swings (1.5/1 pood)
8 Pull-Ups
16 Air Squats
8 Kettlebell Swings (1.5/1 pood)
4 Pull-Ups
8 Air Squats
4 Kettlebell Swings (1.5/1 pood)
2 Pull-Ups"
